mass_1 mass_2 a_1 a_2 tilt_1 tilt_2 phi_jl phi_12 psi theta_jn ra dec luminosity_distance geocent_time redshift mass_1_source mass_2_source log_likelihood
5.216349917726240193e+01 3.471488208621705240e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.035270116837701426e-02 7.270797710217943299e-01 4.886337017858913834e-01 2.804991419726440283e-01 8.853302668097648986e-01 8.077281766257320417e-01 4.394491661468117316e-01 6.416481212367471931e-01 4.198144986621231283e+02 1.126259462400000095e+09 1.000000000000000056e-01 4.742136288842036151e+01 3.155898371474277297e+01 7.411372137316080133e-01
5.589369654310186064e+01 4.079201528808573585e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.093563205857559062e-01 8.068088921995110185e-01 5.453266664014588816e-02 9.893628277967470019e-02 5.532265690985725959e-01 7.629105525226631546e-01 7.309312365146728441e-01 6.824710441669199490e-01 5.403913479271516280e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.081245140281986750e+01 3.708365026189611768e+01 4.140805996096142971e-01
2.621754129097781316e+01 2.549030241653892759e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.691841858884371330e-02 4.941158084372684334e-01 3.705291173588014519e-01 6.555742562392314898e-01 4.612858772956585085e-05 1.430147252142085490e-01 8.589758799289435309e-01 6.828099697865742668e-01 1.529658458764376974e+02 1.126259462400000095e+09 1.000000000000000056e-01 2.383412844634346328e+01 2.317300219685357021e+01 9.186120696490559512e-01
2.866194150960313891e+01 1.980079125379451455e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.915185219817075124e-01 4.630796144451073681e-01 8.353303278541164278e-01 4.954339488790273638e-01 1.771452329830702777e-02 4.378947085850906085e-01 1.340384128921932039e-01 3.324009697375922556e-01 1.825654159506996166e+02 1.126259462400000095e+09 1.000000000000000056e-01 2.605631046327557954e+01 1.800071932163137589e+01 7.553478000631785871e-01
2.927071629027599542e+01 2.079981557804027403e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.999618889387321685e-01 5.297378685908172846e-01 9.856219600534821268e-01 6.128137476085671054e-02 4.484689538155817168e-02 1.943247913592129894e-01 3.908803571132213328e-03 1.058111752491209812e-01 1.261458149569157001e+02 1.126259462400000095e+09 1.000000000000000056e-01 2.660974208206908287e+01 1.890892325276388419e+01 7.674322004927275342e-01
5.266208173358230482e+01 5.121473504984837177e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.665555555558995593e-01 9.602674866562589395e-01 2.578057775431515930e-01 4.441107526966251440e-01 5.590083792901106019e-01 8.499888249036430254e-01 1.253289326120659020e-01 9.285013782441607910e-01 5.545744824015387167e+02 1.126259462400000095e+09 1.000000000000000056e-01 4.787461975780209400e+01 4.655885004531669580e+01 6.199291860598936665e-01
4.795094553412604910e+01 3.067717605515538537e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.059241483838125442e-01 3.678516973255723244e-01 3.510971544340512063e-01 4.328077318550705987e-01 3.262089855858962828e-03 4.548687781288602849e-01 3.139589934382694958e-01 2.636495988780184208e-01 3.484010821870373888e+02 1.126259462400000095e+09 1.000000000000000056e-01 4.359176866738731349e+01 2.788834186832307438e+01 7.883326713593805657e-01
4.245049988806121632e+01 2.521770392614316947e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.263322700639880392e-01 1.624572393266927595e-01 3.547521890397281608e-01 2.456488419756803765e-01 4.678622980333775327e-01 7.764752689584563106e-01 3.867473626763773265e-02 7.820402618145677609e-01 2.552355811556776928e+02 1.126259462400000095e+09 1.000000000000000056e-01 3.859136353460110058e+01 2.292518538740288037e+01 1.784325325149409558e-01
5.863773797516816444e+01 5.068567933573396544e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.985637681769624630e-01 6.833087228064714802e-01 1.977244923999712523e-01 3.260294152588649741e-01 4.336005590881563121e-01 5.551015441047563170e-01 2.912231278736208129e-01 4.728735621213099316e-01 1.833766974624056729e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.330703452288014432e+01 4.607789030521269069e+01 2.068455784622548199e-01
1.276738322601176634e+01 9.020247264960639555e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.929909611083425292e-01 7.328981015133246846e-01 9.436318202446927206e-01 1.947839164317417548e-01 2.410795416802502533e-01 8.659535273238518904e-01 8.700922896581261279e-01 1.338181318350929461e-01 5.862458090120455836e+02 1.126259462400000095e+09 1.000000000000000056e-01 1.160671202364705934e+01 8.200224786327853010e+00 1.212304027866035749e-01
2.875089790604039308e+01 2.268832345485103019e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.152840420040159408e-01 8.894865435980451318e-01 5.875947287605575164e-01 8.840913884710668302e-01 5.540027965092161333e-01 7.955568785107079988e-01 2.423292252464290808e-01 7.494723432260732565e-01 3.977937282366075920e+02 1.126259462400000095e+09 1.000000000000000056e-01 2.613717991458217327e+01 2.062574859531911642e+01 8.930235769918714039e-01
6.933573313586325071e+01 6.788320936755229695e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.298038040764922130e-02 6.677876684877214197e-01 9.963128409400627827e-01 1.891984050305002274e-01 6.376294539143039231e-01 9.236163417236693540e-01 8.124864307487146275e-01 2.353566844477331665e-01 4.060844716894606563e+02 1.126259462400000095e+09 1.000000000000000056e-01 6.303248466896658897e+01 6.171200851595662584e+01 8.423842995450285809e-01
1.872529755600845647e+01 1.648609428991750647e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.265546095372620528e-01 3.949573994902617624e-01 9.156185390780902100e-01 7.552285911134367646e-01 6.295520364410689407e-02 7.336903535076269023e-01 5.340042893939971336e-01 9.760175623380600296e-01 4.419603098313942837e+02 1.126259462400000095e+09 1.000000000000000056e-01 1.702299777818950588e+01 1.498735844537955053e+01 1.320282725671049207e-01
6.398908533181668901e+01 4.653585805834799771e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.978694715965045869e-02 3.030326953675299695e-01 3.644016966275251956e-01 6.089637720006882970e-01 1.877875901197786357e-01 2.596144484169917721e-01 6.215893397162933764e-01 1.318420859627206232e-01 1.353617478028911023e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.817189575619698871e+01 4.230532550758908883e+01 7.389790561462793450e-01
5.236721307110985180e+01 2.991080743099569261e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.018499414738639031e-01 2.974604657186008527e-01 4.147528907570791068e-01 2.242174793567668356e-01 7.244871907367486097e-01 8.018428315374361848e-01 8.589045669217407752e-01 2.572775093089620935e-01 4.787805209774967921e+02 1.126259462400000095e+09 1.000000000000000056e-01 4.760655733737258544e+01 2.719164311908699005e+01 5.625811723559758226e-01
3.388392893558049224e+01 3.124982439126002731e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.246927394558362323e-01 7.572003887897885699e-01 5.494408603748126563e-01 3.847535761513335428e-01 3.962494187975977855e-01 5.869363626828971725e-02 6.057423402984259964e-01 6.776561516259685947e-01 2.564542890911593531e+02 1.126259462400000095e+09 1.000000000000000056e-01 3.080357175961862737e+01 2.840893126478184172e+01 8.362043318606388054e-01
3.780488473542432359e+01 3.010826650791964454e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.322474692778667915e-01 2.855199579968736856e-02 6.183324604773100530e-01 5.945679401890847648e-01 7.261163148982475724e-01 5.972665981675548963e-01 5.457030130470067464e-01 5.765213825515124180e-01 4.155007489764103639e+02 1.126259462400000095e+09 1.000000000000000056e-01 3.436807703220392796e+01 2.737115137083603855e+01 4.656639881449650131e-01
4.399202886060995610e+01 2.390480693381526578e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.152771726350869219e-01 1.996873895717738989e-01 2.165142479398790565e-01 8.602094595521997400e-01 9.966009942871510985e-01 2.001514767213901091e-01 6.034786592753244028e-01 2.699870012073343206e-01 1.588213989777743222e+02 1.126259462400000095e+09 1.000000000000000056e-01 3.999275350964541076e+01 2.173164266710478643e+01 8.336545257236992468e-01
5.882690981379165862e+01 5.792927790409907374e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.857310586617082482e-02 4.890948639952278354e-01 5.955205191909321849e-01 5.657538946323903417e-02 6.672018335407873257e-01 7.855545468465288117e-01 9.352481913503573052e-01 7.152811570540740238e-01 4.843385547298486813e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.347900892162877540e+01 5.266297991281733459e+01 9.751941867605355974e-01
3.449941857462583528e+01 2.392893022055818264e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.694056507709359671e-01 2.835589016344135516e-01 2.186427710804461633e-02 6.556791099232829323e-01 1.941296924103864674e-01 8.539427798769341216e-01 1.036259202626376164e-01 3.428364413802436061e-01 5.822136124562149462e+02 1.126259462400000095e+09 1.000000000000000056e-01 3.136310779511439151e+01 2.175357292778016571e+01 3.887122837114898033e-01
1.444571440483225544e+01 7.481106833041833326e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.172969281511390127e-01 5.112323314637325922e-01 9.447976258865380395e-01 4.959754106181353261e-01 4.731913437615048457e-01 5.765262645489623861e-01 3.033182741988407205e-01 8.830424882392529096e-01 3.246072744043030980e+02 1.126259462400000095e+09 1.000000000000000056e-01 1.313246764075659456e+01 6.801006211856211792e+00 2.435984880705515110e-01
6.353045221707679957e+01 6.177055556247039902e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.781735673167487821e-01 8.296084506570304828e-01 7.211175618082444894e-01 3.237903751723525403e-01 7.638009188434302654e-02 7.293375625532979578e-01 1.757167334178699747e-01 6.951144103956600206e-01 4.147120658795689110e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.775495656097890418e+01 5.615505051133672509e+01 6.172667952527466362e-02
1.279075269853282038e+01 1.032055526035775017e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.723433586645383597e-01 6.202462255757149601e-01 2.738424071045937325e-01 3.475493912909026761e-01 6.303232448152251699e-02 8.894961125728262363e-02 5.090033575949123312e-01 2.518590985942397165e-01 1.789214492572625659e+02 1.126259462400000095e+09 1.000000000000000056e-01 1.162795699866619969e+01 9.382322963961589934e+00 1.166009073232925353e-01
5.638123997538095722e+01 4.099497917902463939e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.855469782356815367e-01 3.281719145649006908e-01 9.777385757653551668e-01 9.000837863343492673e-01 5.167752926994536589e-01 3.910791448184750552e-01 3.748557321477308246e-01 9.844090066992953192e-01 5.158939225011512235e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.125567270489177218e+01 3.726816289002239557e+01 8.718770194203769863e-01
6.090328426602769696e+01 4.440099378466884161e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.813459211315372244e-02 3.898119198547612685e-01 3.115584109903380972e-01 3.610476104044649803e-01 1.530474317434595832e-01 7.472672852921270481e-01 9.954054432226816518e-01 4.477434381204625780e-03 3.574837174622306861e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.536662206002517195e+01 4.036453980424440147e+01 1.985770449942070304e-01
5.510305286582273965e+01 5.383886490721339868e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.267306700441265921e-01 4.423047435881710676e-01 9.481180470934413851e-02 1.268916879718121615e-01 4.750148887503837791e-01 7.300419526838679563e-01 6.242510047855668320e-01 1.043568292744330162e-01 3.856678841241806595e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.009368442347521722e+01 4.894442264292126765e+01 3.472162322817949898e-01
2.698524295026069808e+01 1.754183935968932317e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.643260135245972586e-01 7.901235478796053702e-01 1.253069921659043517e-01 4.208711853124079694e-01 6.809753419387428730e-01 1.439976096859860721e-01 1.780615437022803338e-02 1.874257038899129757e-02 2.140223188605811231e+02 1.126259462400000095e+09 1.000000000000000056e-01 2.453203904569154048e+01 1.594712669062665533e+01 8.929512919152062800e-01
1.038746485872822767e+01 7.042335608814179082e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.488620255849005147e-01 6.445340194063456929e-01 4.622702900065426279e-01 5.900513332818647649e-01 4.809490706767061141e-03 5.426818634999320823e-01 2.564452562710458627e-01 3.703266965938560862e-01 2.253647453904366103e+02 1.126259462400000095e+09 1.000000000000000056e-01 9.443149871571115739e+00 6.402123280740162237e+00 6.170338984076519928e-01
4.165951174290951542e+01 2.397318029666956818e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.309471162827238633e-02 3.638376425969946926e-02 8.082631215533228053e-01 9.783974538943208676e-01 6.589066706050198396e-01 3.888157941431460429e-01 6.372264871334440972e-01 1.901491811828981415e-01 1.646068940740011612e+02 1.126259462400000095e+09 1.000000000000000056e-01 3.787228340264501014e+01 2.179380026969960582e+01 9.917142919300530046e-01
3.445377851541717718e+01 2.125156341550872696e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.917930032422090925e-02 2.875956419635883332e-01 4.033298670774149164e-01 3.926699629952367099e-01 2.195095445903737508e-01 3.927720244883888823e-01 7.121528016666713867e-01 7.923873890072657966e-01 3.664776187681889041e+02 1.126259462400000095e+09 1.000000000000000056e-01 3.132161683219743153e+01 1.931960310500793199e+01 5.972042697433410652e-02
3.227356242164276523e+01 1.688776704820643104e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.389195794668136141e-02 4.492584957362113496e-01 2.102223637777982379e-01 6.194502081707577990e-01 5.372695191789771396e-01 9.257013782533897173e-01 3.233794308402644369e-01 7.477258733056237894e-01 4.270435668165283687e+02 1.126259462400000095e+09 1.000000000000000056e-01 2.933960220149342035e+01 1.535251549836948115e+01 6.713813344744467004e-01
1.217573298290224670e+01 8.209661960057093921e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.052801997056268979e-01 8.498071223523164797e-01 8.534508900776195395e-01 9.529887965540885242e-01 9.889295771483190833e-01 8.871244950540243535e-01 6.412838943676136827e-01 4.716447535672445568e-01 3.704804578201257073e+02 1.126259462400000095e+09 1.000000000000000056e-01 1.106884816627476908e+01 7.463329054597357626e+00 8.486492574393689203e-02
3.927478065874112190e+01 3.506611354104312994e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.991351562562921229e-01 6.246320672213098169e-01 2.979003118352006041e-01 8.741994381781306167e-01 6.797119363365619060e-01 2.557154163170121119e-01 8.837857589103718103e-01 9.777702007201591883e-01 4.437314151262993391e+02 1.126259462400000095e+09 1.000000000000000056e-01 3.570434605340101797e+01 3.187828503731193308e+01 1.411851568181393679e-01
6.695044427002426346e+01 4.896756738840699086e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.286257786607303943e-01 8.183116635924920779e-01 1.984259351313641950e-01 5.576523337727000706e-01 1.668681119878058228e-01 7.495614009778854836e-01 2.674320684596954711e-01 8.742526707946247644e-01 5.290145136068676948e+02 1.126259462400000095e+09 1.000000000000000056e-01 6.086404024547659475e+01 4.451597035309725925e+01 8.372805091156225732e-01
4.733624580659782310e+01 3.566700324723333893e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.148315666602548024e-01 6.907129559750944114e-01 9.439844170543600921e-01 1.586684510374402057e-01 1.322609547231975435e-01 2.622339364350375623e-01 7.940916025433855108e-01 5.079773716729429900e-01 4.428487036724315544e+02 1.126259462400000095e+09 1.000000000000000056e-01 4.303295073327074505e+01 3.242454840657575943e+01 4.416242333368044504e-01
3.464144212792683675e+01 2.894132415126404823e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.301606474591612717e-02 1.806607660699606210e-01 1.948100420506907460e-01 7.456810786722378737e-02 9.133491251927272625e-01 1.407729451231777285e-01 8.787512362081759676e-01 9.458349900430953472e-01 3.550121310832123527e+02 1.126259462400000095e+09 1.000000000000000056e-01 3.149222011629712270e+01 2.631029468296731366e+01 3.691773741623840532e-01
1.929947488750337570e+01 1.392746223084303736e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.035864199278820008e-01 4.636318644048786908e-01 9.802408794336728848e-01 5.595171348420719948e-01 9.118370611429053030e-01 5.137611363787153440e-02 2.857041901162566955e-01 6.432599558982686760e-01 5.004450516024994613e+02 1.126259462400000095e+09 1.000000000000000056e-01 1.754497717045761362e+01 1.266132930076639695e+01 6.792951890377618707e-02
5.154676998103401075e+01 3.101263292457450760e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.210728878723247304e-01 5.078686065275653805e-01 3.032829092043128894e-01 7.068461969895468711e-01 4.182559287717620977e-01 1.394950130303296287e-01 5.126309313294982184e-01 1.101929603869112873e-01 1.027793775635493461e+02 1.126259462400000095e+09 1.000000000000000056e-01 4.686069998275818449e+01 2.819330265870409491e+01 7.493934499281490469e-01
4.462859444037455603e+01 4.219376812558398626e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.769386949693088962e-01 5.061934596438411038e-01 2.876614304674561806e-01 2.687899536391066269e-01 3.956291211148714737e-01 2.026048892016221181e-01 3.846976957123018348e-01 6.821999950049392192e-01 2.500927261622025526e+02 1.126259462400000095e+09 1.000000000000000056e-01 4.057144949124959510e+01 3.835797102325816610e+01 3.950683444940156219e-01
6.508843746552247467e+01 5.323710757795274873e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.349288790166122798e-01 7.469809318483712213e-01 1.118886317968931232e-01 2.498998274271180264e-02 7.430540224954547135e-01 6.955526203645422401e-01 5.370977842178068506e-01 1.274127663086104256e-01 5.759973008398408183e+02 1.126259462400000095e+09 1.000000000000000056e-01 5.917130678683860623e+01 4.839737052541158846e+01 8.812758112383276554e-01
