mass_1	mass_2	a_1	a_2	tilt_1	tilt_2	phi_jl	phi_12	psi	theta_jn	ra	dec	luminosity_distance	geocent_time	redshift	mass_1_source	mass_2_source	log_likelihood	comoving_distance	comoving_volume	mass_ratio	inverted_mass_ratio	total_mass	chirp_mass	symmetric_mass_ratio	total_mass_source	chirp_mass_source	iota	spin_1x	spin_1y	spin_1z	spin_2x	spin_2y	spin_2z	phi_1	phi_2	chi_p	chi_p_2spin	chi_eff	final_spin_non_evolved	peak_luminosity_non_evolved	final_mass_non_evolved	cos_tilt_1	cos_tilt_2	final_mass_source_non_evolved	radiated_energy_non_evolved	cos_theta_jn	viewing_angle	cos_iota
5.216349917726240193e+01	3.471488208621705240e+01	0.000000000000000000e+00	0.000000000000000000e+00	9.035270116837701426e-02	7.270797710217943299e-01	4.886337017858913834e-01	2.804991419726440283e-01	8.853302668097648986e-01	8.077281766257320417e-01	4.394491661468117316e-01	6.416481212367471931e-01	4.198144986621231283e+02	1.126259462400000095e+09	1.000000000000000056e-01	4.742136288842036151e+01	3.155898371474277297e+01	7.411372137316080133e-01	4.321244883487780726e+02	3.379988668472575545e+08	6.655014068026509078e-01	1.502626425396185406e+00	8.687838126347945433e+01	3.689326594989619679e+01	2.399158663693057303e-01	7.898034660316312738e+01	3.353933268172381332e+01	8.077281766257321527e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.636654671128890959e-01	3.365850456763363141e+00	8.299264859495609414e+01	9.959209707960170466e-01	7.471186342863489482e-01	7.544786235905098692e+01	3.532484244112140459e+00	6.911421047562571474e-01	8.077281766257320417e-01	6.911421047562571474e-01
5.589369654310186064e+01	4.079201528808573585e+01	0.000000000000000000e+00	0.000000000000000000e+00	8.093563205857559062e-01	8.068088921995110185e-01	5.453266664014588816e-02	9.893628277967470019e-02	5.532265690985725959e-01	7.629105525226631546e-01	7.309312365146728441e-01	6.824710441669199490e-01	5.403913479271516280e+02	1.126259462400000095e+09	1.000000000000000056e-01	5.081245140281986750e+01	3.708365026189611768e+01	4.140805996096142971e-01	4.321244883487780726e+02	3.379988668472575545e+08	7.298142332853112535e-01	1.370211698254264032e+00	9.668571183118760359e+01	4.146582752000758632e+01	2.439008964083542175e-01	8.789610166471599939e+01	3.769620683637052849e+01	7.629105525226631546e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.727094948510948802e-01	3.499766465523659775e+00	9.222417145194805244e+01	6.899644988261069978e-01	6.918061968444328969e-01	8.384015586540731135e+01	4.055945799308688038e+00	7.228278013666771251e-01	7.629105525226631546e-01	7.228278013666771251e-01
2.621754129097781316e+01	2.549030241653892759e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.691841858884371330e-02	4.941158084372684334e-01	3.705291173588014519e-01	6.555742562392314898e-01	4.612858772956585085e-05	1.430147252142085490e-01	8.589758799289435309e-01	6.828099697865742668e-01	1.529658458764376974e+02	1.126259462400000095e+09	1.000000000000000056e-01	2.383412844634346328e+01	2.317300219685357021e+01	9.186120696490559512e-01	4.321244883487780726e+02	3.379988668472575545e+08	9.722613624837067592e-01	1.028530021439330921e+00	5.170784370751674430e+01	2.250447488695747822e+01	2.499505482886324459e-01	4.700713064319703705e+01	2.045861353359770618e+01	1.430147252142087988e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.864088530439972358e-01	3.709388114470507869e+00	4.920724899528192964e+01	9.988995328957874786e-01	8.803883847821373232e-01	4.473386272298356658e+01	2.273267920213470461e+00	9.897908128843276865e-01	1.430147252142085490e-01	9.897908128843276865e-01
2.866194150960313891e+01	1.980079125379451455e+01	0.000000000000000000e+00	0.000000000000000000e+00	5.915185219817075124e-01	4.630796144451073681e-01	8.353303278541164278e-01	4.954339488790273638e-01	1.771452329830702777e-02	4.378947085850906085e-01	1.340384128921932039e-01	3.324009697375922556e-01	1.825654159506996166e+02	1.126259462400000095e+09	1.000000000000000056e-01	2.605631046327557954e+01	1.800071932163137589e+01	7.553478000631785871e-01	4.321244883487780726e+02	3.379988668472575545e+08	6.908391480444647792e-01	1.447514957469718588e+00	4.846273276339765346e+01	2.066861189921980113e+01	2.416419606692288280e-01	4.405702978490695187e+01	1.878964718110890786e+01	4.378947085850904974e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.675853481342598483e-01	3.423447663257761509e+00	4.626559269059323753e+01	8.300948749451801945e-01	8.946810615946667600e-01	4.205962971872111922e+01	1.997400066185832657e+00	9.056463842137009168e-01	4.378947085850906085e-01	9.056463842137009168e-01
2.927071629027599542e+01	2.079981557804027403e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.999618889387321685e-01	5.297378685908172846e-01	9.856219600534821268e-01	6.128137476085671054e-02	4.484689538155817168e-02	1.943247913592129894e-01	3.908803571132213328e-03	1.058111752491209812e-01	1.261458149569157001e+02	1.126259462400000095e+09	1.000000000000000056e-01	2.660974208206908287e+01	1.890892325276388419e+01	7.674322004927275342e-01	4.321244883487780726e+02	3.379988668472575545e+08	7.106015230980242681e-01	1.407258452867197862e+00	5.007053186831626590e+01	2.141801704313572685e+01	2.428445857403398467e-01	4.551866533483296706e+01	1.947092458466883969e+01	1.943247913592131559e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.703141258005617109e-01	3.463945965218087952e+00	4.777902265933572323e+01	8.776008326691197015e-01	8.629395570373850077e-01	4.343547514485065619e+01	2.083190189982310869e+00	9.811782787452394405e-01	1.943247913592129894e-01	9.811782787452394405e-01
5.266208173358230482e+01	5.121473504984837177e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.665555555558995593e-01	9.602674866562589395e-01	2.578057775431515930e-01	4.441107526966251440e-01	5.590083792901106019e-01	8.499888249036430254e-01	1.253289326120659020e-01	9.285013782441607910e-01	5.545744824015387167e+02	1.126259462400000095e+09	1.000000000000000056e-01	4.787461975780209400e+01	4.655885004531669580e+01	6.199291860598936665e-01	4.321244883487780726e+02	3.379988668472575545e+08	9.725163412442359157e-01	1.028260356757195071e+00	1.038768167834306837e+02	4.520974373900144627e+01	2.499514657990147826e-01	9.443346980311879690e+01	4.109976703545585508e+01	8.499888249036430254e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.864109289650613954e-01	3.709420480992084990e+00	9.885329161746224713e+01	8.931229378943263963e-01	5.733008427442067845e-01	8.986662874314748706e+01	4.566841059971309846e+00	6.599915414746903020e-01	8.499888249036430254e-01	6.599915414746903020e-01
4.795094553412604910e+01	3.067717605515538537e+01	0.000000000000000000e+00	0.000000000000000000e+00	3.059241483838125442e-01	3.678516973255723244e-01	3.510971544340512063e-01	4.328077318550705987e-01	3.262089855858962828e-03	4.548687781288602849e-01	3.139589934382694958e-01	2.636495988780184208e-01	3.484010821870373888e+02	1.126259462400000095e+09	1.000000000000000056e-01	4.359176866738731349e+01	2.788834186832307438e+01	7.883326713593805657e-01	4.321244883487780726e+02	3.379988668472575545e+08	6.397616504417592553e-01	1.563082124896817415e+00	7.862812158928143447e+01	3.322400261911490560e+01	2.379341354222572757e-01	7.148011053571039497e+01	3.020363874464991127e+01	4.548687781288602294e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.591596030066174672e-01	3.300492523088133012e+00	7.516593614427782200e+01	9.535690298381113150e-01	9.331020529682808595e-01	6.833266922207074856e+01	3.147441313639646410e+00	8.983186875118497339e-01	4.548687781288602849e-01	8.983186875118497339e-01
4.245049988806121632e+01	2.521770392614316947e+01	0.000000000000000000e+00	0.000000000000000000e+00	2.263322700639880392e-01	1.624572393266927595e-01	3.547521890397281608e-01	2.456488419756803765e-01	4.678622980333775327e-01	7.764752689584563106e-01	3.867473626763773265e-02	7.820402618145677609e-01	2.552355811556776928e+02	1.126259462400000095e+09	1.000000000000000056e-01	3.859136353460110058e+01	2.292518538740288037e+01	1.784325325149409558e-01	4.321244883487780726e+02	3.379988668472575545e+08	5.940496341065562014e-01	1.683361023366319431e+00	6.766820381420438935e+01	2.829280982600413807e+01	2.337862973836622449e-01	6.151654892200398450e+01	2.572073620545830508e+01	7.764752689584564216e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.497067237744730273e-01	3.166359074086474212e+00	6.478517565740786210e+01	9.744960041274044471e-01	9.868328203567773294e-01	5.889561423400714091e+01	2.620934687996843593e+00	7.133879875852446872e-01	7.764752689584563106e-01	7.133879875852446872e-01
5.863773797516816444e+01	5.068567933573396544e+01	0.000000000000000000e+00	0.000000000000000000e+00	4.985637681769624630e-01	6.833087228064714802e-01	1.977244923999712523e-01	3.260294152588649741e-01	4.336005590881563121e-01	5.551015441047563170e-01	2.912231278736208129e-01	4.728735621213099316e-01	1.833766974624056729e+02	1.126259462400000095e+09	1.000000000000000056e-01	5.330703452288014432e+01	4.607789030521269069e+01	2.068455784622548199e-01	4.321244883487780726e+02	3.379988668472575545e+08	8.643866746223783926e-01	1.156889652928611456e+00	1.093234173109021299e+02	4.743455693248524341e+01	2.486772652624479052e-01	9.938492482809283501e+01	4.312232448407748819e+01	5.551015441047563170e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.835276040038605894e-01	3.664638436504361163e+00	1.040881867442762001e+02	8.782702227472096723e-01	7.754879644361193369e-01	9.462562431297835985e+01	4.759300515114475161e+00	8.498469279024980505e-01	5.551015441047563170e-01	8.498469279024980505e-01
1.276738322601176634e+01	9.020247264960639555e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.929909611083425292e-01	7.328981015133246846e-01	9.436318202446927206e-01	1.947839164317417548e-01	2.410795416802502533e-01	8.659535273238518904e-01	8.700922896581261279e-01	1.338181318350929461e-01	5.862458090120455836e+02	1.126259462400000095e+09	1.000000000000000056e-01	1.160671202364705934e+01	8.200224786327853010e+00	1.212304027866035749e-01	4.321244883487780726e+02	3.379988668472575545e+08	7.065071287735094074e-01	1.415413885116759918e+00	2.178763049097240412e+01	9.314299574782712199e+00	2.426053281055476074e-01	1.980693680997491057e+01	8.467545067984282525e+00	8.659535273238518904e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.697713880688241916e-01	3.455864888321474204e+00	2.079237023206461998e+01	6.270850233535899543e-01	7.432386197969946817e-01	1.890215475642238019e+01	9.047820535525303853e-01	6.479140957901968756e-01	8.659535273238518904e-01	6.479140957901968756e-01
2.875089790604039308e+01	2.268832345485103019e+01	0.000000000000000000e+00	0.000000000000000000e+00	8.152840420040159408e-01	8.894865435980451318e-01	5.875947287605575164e-01	8.840913884710668302e-01	5.540027965092161333e-01	7.955568785107079988e-01	2.423292252464290808e-01	7.494723432260732565e-01	3.977937282366075920e+02	1.126259462400000095e+09	1.000000000000000056e-01	2.613717991458217327e+01	2.062574859531911642e+01	8.930235769918714039e-01	4.321244883487780726e+02	3.379988668472575545e+08	7.891344308270924479e-01	1.267211213876321629e+00	5.143922136089142327e+01	2.220308969191096793e+01	2.465273148765695366e-01	4.676292850990129324e+01	2.018462699264633287e+01	7.955568785107079988e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.786604233708684042e-01	3.589839241396947322e+00	4.901657257551218549e+01	6.856616611542341033e-01	6.298109360514138055e-01	4.456052052319289203e+01	2.202407986708401211e+00	6.998871221764830786e-01	7.955568785107079988e-01	6.998871221764830786e-01
6.933573313586325071e+01	6.788320936755229695e+01	0.000000000000000000e+00	0.000000000000000000e+00	9.298038040764922130e-02	6.677876684877214197e-01	9.963128409400627827e-01	1.891984050305002274e-01	6.376294539143039231e-01	9.236163417236693540e-01	8.124864307487146275e-01	2.353566844477331665e-01	4.060844716894606563e+02	1.126259462400000095e+09	1.000000000000000056e-01	6.303248466896658897e+01	6.171200851595662584e+01	8.423842995450285809e-01	4.321244883487780726e+02	3.379988668472575545e+08	9.790508630598203643e-01	1.021397393874622139e+00	1.372189425034155477e+02	5.972399818117260395e+01	2.499719870808436439e-01	1.247444931849232148e+02	5.429454380106599842e+01	9.236163417236693540e-01	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	-0.000000000000000000e+00	-0.000000000000000000e+00	0.000000000000000000e+00	3.141592653589793116e+00	3.141592653589793116e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.864573594793114131e-01	3.710144444535711017e+00	1.305819297835344344e+02	9.956804377863167632e-01	7.851935734561753533e-01	1.187108452577585638e+02	6.033647927164651037e+00	6.029390341490186156e-01	9.236163417236693540e-01	6.029390341490186156e-01
